fsu_serial_no,sector,secon_stage_stratum,household_id,insurance_premium,usual_monthly_consumer_exp
85558,1,1,1,0,15150
85558,1,1,2,0,16625
85558,1,2,3,0,18375
85558,1,2,4,0,14842
85558,1,2,5,0,12675
85558,1,2,6,0,12617
85558,1,3,7,0,15567
85558,1,3,8,0,16843
85557,1,1,1,0,19944
85557,1,1,2,0,14627
85557,1,2,3,0,16698
85557,1,2,4,0,17417
85557,1,2,5,0,17167
85557,1,2,6,0,18090
85557,1,3,7,0,17863
85557,1,3,8,0,14008
85556,1,1,1,0,13968
85556,1,1,2,0,9263
85556,1,2,3,0,17867
85556,1,2,4,0,11443
85556,1,2,5,0,11012
85556,1,2,6,0,10367
85556,1,3,7,0,16243
85556,1,3,8,0,7558
85552,1,1,1,0,12337
85552,1,1,2,0,13197
85552,1,2,3,0,12821
85552,1,2,4,0,10695
85552,1,2,5,0,14358
85552,1,2,6,0,10828
85552,1,3,7,0,10142
85552,1,3,8,0,10433
85551,1,1,1,0,16425
85551,1,1,2,0,15403
85551,1,2,3,0,17142
85551,1,2,4,0,15658
85551,1,2,5,0,16878
85551,1,2,6,0,14575
85551,1,3,7,0,7808
85551,1,3,8,0,8008
85553,1,1,1,0,14187
85553,1,1,2,0,10633
85553,1,2,3,0,14580
85553,1,2,4,0,10458
85553,1,2,5,0,10587
85553,1,2,6,0,15268
85553,1,3,7,0,14550
85553,1,3,8,0,10146
85550,1,1,1,0,15900
85550,1,1,2,0,13317
85550,1,2,3,0,19458
85550,1,2,4,0,20458
85550,1,2,5,0,16975
85550,1,2,6,0,9442
85550,1,3,7,0,23333
85550,1,3,8,0,14813
85559,1,1,1,0,18827
85559,1,1,2,0,14497
85559,1,2,3,0,14958
85559,1,2,4,0,15100
85559,1,2,5,0,16067
85559,1,2,6,0,16513
85559,1,3,7,0,17810
85559,1,3,8,0,15679
85554,1,1,1,0,18175
85554,1,1,2,0,18125
85554,1,1,3,0,23917
85554,1,1,4,0,16208
85554,1,2,5,0,10500
85554,1,2,6,0,18208
85554,1,3,7,0,24750
85554,1,3,8,0,15667
85585,1,1,1,0,19083
85585,1,1,2,0,21200
85585,1,2,3,0,23200
85585,1,2,4,0,14150
85585,1,2,5,0,15367
85585,1,2,6,0,15783
85585,1,3,7,0,20883
85585,1,3,8,0,11783
85588,1,1,1,0,21017
85588,1,1,2,0,19767
85588,1,2,3,0,17058
85588,1,2,4,0,32917
85588,1,2,5,0,22467
85588,1,2,6,0,19000
85588,1,3,7,0,17667
85588,1,3,8,0,22192
85587,1,1,1,0,21917
85587,1,1,2,0,23083
85587,1,2,3,0,23500
85587,1,2,4,0,20250
85587,1,2,5,0,27833
85587,1,2,6,0,22417
85587,1,3,7,0,30217
85587,1,3,8,0,44333
85586,1,1,1,0,26750
85586,1,1,2,0,25742
85586,1,2,3,0,27050
85586,1,2,4,0,24758
85586,1,2,5,0,17542
85586,1,2,6,0,5125
85586,1,3,7,0,23850
85586,1,3,8,0,17750
85582,1,1,1,0,24725
85582,1,1,2,0,22375
85582,1,2,3,0,21542
85582,1,2,4,0,15042
85582,1,2,5,0,17450
85582,1,2,6,0,19167
85582,1,3,7,0,32083
85582,1,3,8,0,22825
85581,1,1,1,0,21303
85581,1,1,2,0,22993
85581,1,2,3,0,16722
85581,1,2,4,0,20802
85581,1,2,5,0,14435
85581,1,2,6,0,9718
85581,1,3,7,0,53642
85581,1,3,8,0,31530
85583,1,1,1,0,39083
85583,1,1,2,0,33133
85583,1,2,3,0,21925
85583,1,2,4,0,16750
85583,1,2,5,0,19583
85583,1,2,6,0,23250
85583,1,3,7,0,33000
85583,1,3,8,0,29250
85580,1,1,1,0,2683
85580,1,1,2,0,2583
85580,1,2,3,0,4017
85580,1,2,4,0,1775
85580,1,2,5,0,3025
85580,1,2,6,0,3812
85580,1,3,7,0,8300
85580,1,3,8,0,10375
85589,1,1,1,0,8333
85589,1,1,2,0,12167
85589,1,3,3,0,6833
85589,1,3,4,0,6550
85589,1,3,5,0,14167
85589,1,3,6,0,19083
85589,1,3,7,0,21267
85589,1,3,8,0,10917
85584,1,1,1,0,9992
85584,1,1,2,0,8000
85584,1,2,3,0,7950
85584,1,2,4,0,12000
85584,1,2,5,0,7000
85584,1,2,6,0,8000
85584,1,3,7,0,10000
85584,1,3,8,0,8000
85575,1,1,1,0,22333
85575,1,1,2,0,20500
85575,1,1,3,0,19400
85575,1,1,4,0,18150
85575,1,1,5,0,18167
85575,1,2,6,0,24850
85575,1,3,7,0,20300
85575,1,3,8,0,22267
85578,1,1,1,0,15550
85578,1,1,2,0,10683
85578,1,2,3,0,10875
85578,1,2,4,0,4417
85578,1,2,5,0,7292
85578,1,2,6,0,15417
85578,1,3,7,0,11500
85578,1,3,8,0,15133
85577,1,1,1,0,21217
85577,1,1,2,0,16700
85577,1,2,3,0,27550
85577,1,2,4,0,33067
85577,1,2,5,0,38183
85577,1,2,6,0,22100
85577,1,3,7,0,16433
85577,1,3,8,0,11767
85576,1,1,1,0,36000
85576,1,1,2,0,29750
85576,1,2,3,0,24583
85576,1,2,4,0,30333
85576,1,2,5,0,24417
85576,1,2,6,0,10917
85576,1,3,7,0,29583
85576,1,3,8,0,29583
85572,1,1,1,0,23000
